host;public_ip;status;attempts;city;region;country;location;organization;postal;timezone;latency (ms);date
mmx-ds.cdn.whatsapp.net;157.240.202.60;OK;1;Paris;Île-de-France;FR;48.8534,2.3488;AS32934 Facebook, Inc.;75000;Europe/Paris;24.6;25-04-2023 01:24:53
webempresa.com;87.98.229.251;OK;1;Lille;Hauts-de-France;FR;50.6330,3.0586;AS16276 OVH SAS;59000;Europe/Paris;22.1;25-04-2023 01:24:53
webnode.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:24:54
websitebuilder.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:24:54
wechat.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:24:55
weebly.com;74.115.50.109;OK;1;San Francisco;California;US;37.7749,-122.4194;AS27647 Weebly, Inc.;94102;America/Los_Angeles;163;25-04-2023 01:24:55
wego.here.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:24:56
weheartit.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:24:57
weibo.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:24:58
whatsapp.com;185.60.219.60;OK;1;Paris;Île-de-France;FR;48.8534,2.3488;AS32934 Facebook, Inc.;75000;Europe/Paris;23.9;25-04-2023 01:24:58
whois.edu.za;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:24:59
wikipedia.org;185.15.58.224;OK;1;Marseille;Provence-Alpes-Côte d'Azur;FR;43.2970,5.3811;AS14907 Wikimedia Foundation Inc.;13000;Europe/Paris;33.7;25-04-2023 01:24:59
wildwestdomains.com;208.109.192.68;OK;1;Phoenix;Arizona;US;33.4484,-112.0740;AS26496 GoDaddy.com, LLC;85001;America/Phoenix;155;25-04-2023 01:25:00
wish.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:00
wizink.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:00
Wordpress.com;192.0.78.17;OK;1;San Francisco;California;US;37.7509,-122.4153;AS2635 Automattic, Inc;94110;America/Los_Angeles;3.77;25-04-2023 01:25:00
wordreference.com;23.111.171.90;OK;1;Tampa;Florida;US;28.0091,-82.5034;AS29802 HIVELOCITY, Inc.;33614;America/New_York;96.1;25-04-2023 01:25:01
worldpay.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:01
wuaki.tv;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:01
www.abchina.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:02
e1066.dscb.akamaiedge.net;23.74.85.53;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16625 Akamai Technologies, Inc.;28052;Europe/Madrid;3.09;25-04-2023 01:25:02
www.boc.cn;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:02
www.caixaontinyent.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:02
www.hefame.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:02
www.redsys.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:02
vuala.ua.es;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:03
ccuma1i.sci.uma.es;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:03
s159m97.unavarra.es;130.206.159.97;OK;1;Pamplona;Navarre;ES;42.8169,-1.6432;AS766 Entidad Publica Empresarial Red.es;31001;Europe/Madrid;22.6;25-04-2023 01:25:04
k8swin.uned.es;62.204.213.111;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS15630 Universidad Nacional de Educacion a Distancia - UNED;28001;Europe/Madrid;5.46;25-04-2023 01:25:04
www.unirioja.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:04
ias.cc.upv.es;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:05
www.us.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:05
www.usc.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:05
www.uv.es;147.156.200.249;OK;1;Valencia;Valencia;ES;39.4697,-0.3774;AS766 Entidad Publica Empresarial Red.es;46001;Europe/Madrid;10.9;25-04-2023 01:25:05
e7778.dsca.akamaiedge.net;23.73.169.167;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16625 Akamai Technologies, Inc.;28052;Europe/Madrid;3.17;25-04-2023 01:25:06
xataka.com;54.192.95.34;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;3.05;25-04-2023 01:25:06
xbox.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:06
xbyorange.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:06
xhamster.com;104.18.155.3;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;3.55;25-04-2023 01:25:07
xing.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:07
xnxx.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:07
xvideos.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:07
yahoo.com;74.6.143.25;OK;1;Lockport;New York;US;43.1600,-78.6923;AS26101 Oath Holdings Inc.;14094;America/New_York;113;25-04-2023 01:25:07
yelmocines.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:07
yelp.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:08
yola.com;104.17.212.101;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;2.98;25-04-2023 01:25:09
youtube.com;142.250.185.14;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS15169 Google LLC;28001;Europe/Madrid;3.05;25-04-2023 01:25:09
youtube.es;142.250.201.78;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS15169 Google LLC;28001;Europe/Madrid;2.81;25-04-2023 01:25:09
yowi.tv;157.90.166.8;OK;2;Kassel;Hesse;DE;51.3056,9.4652;AS24940 Hetzner Online GmbH;34121;Europe/Berlin;42.2;25-04-2023 01:25:10
yy.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:11
zalando.es;34.111.24.118;OK;1;Kansas City;Missouri;US;39.0997,-94.5786;AS396982 Google LLC;64106;America/Chicago;3.20;25-04-2023 01:25:11
www.zara.com;23.58.159.177;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS20940 Akamai International B.V.;28052;Europe/Madrid;2.77;25-04-2023 01:25:12
zippyshare.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:12
zuora.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:25:12
